"id";"area_construida_m2";"Bairro";"Cep";"cidade_uf";"Endereço";"fim_termo_convenio";"situacao_termo_convenio";"termo_convenio";"Situação";"uf"
"19324";NA;"CHA DO FOGO                                                                                         ";"55950-000";"Itaquitinga                        - PE";"RUA BIBIANO GOMES, LOTEAMENTO SABOEIRO,  ";"07/05/2017";"Vigente";"10910/2014";"
                            
                            Licitação";"PE"
"1001645";NA;"Planalto                                                                                            ";"56000-000";"Salgueiro                        - PE";"Rua Expedita de Sá Araújo, Planalto, 00 ";"27/09/2016";"Vigente";"5100/2013";"
                            
                            Licitação";"PE"
"1018274";NA;"ZONA RURAL";"64758-000";"Queimada Nova                        - PI";"LOCALIDADE PITOMBEIRA,  00 ";"31/07/2016";"Vigente";"34028/2014";"
                            
                            Licitação";"PI"
"1012800";NA;"Centro                                                                                              ";"64940-000";"Monte Alegre do Piauí                        - PI";"RuaProjetada,  00 ";"27/03/2017";"Vigente";"8972/2014";"
                            
                            Licitação";"PI"
"1005813";NA;"Centro                                                                                              ";"87470-000";"Mariluz                        - PR";"Avenida Presidente Marechal Floriano Peixoto,  00 ";"16/12/2016";"Vigente";"7001/2013";"
                            
                            Licitação";"PR"
"1004906";NA;"São José                                                                                            ";"28950-000";"Armação dos Búzios                        - RJ";"Rua Umbaúba , Loteamento do Pórtico, 00 ";"31/12/2016";"Vigente";"6460/2013";"
                            
                            Licitação";"RJ"
"1005599";NA;"Parque Mucaja                                                                                       ";"26423-140";"Japeri                        - RJ";"Rua Baependi, tranversal com estrada Daniel, 00 ";"14/11/2016";"Vigente";"6924/2013";"
                            
                            Licitação";"RJ"
"1009311";NA;"Nova Patu                                                                                           ";"59770-000";"Patu                        - RN";"RUA Vereadora Magda Godeiro Dutra ,  000 ";"01/12/2016";"Vigente";"11727/2014";"
                            
                            Licitação";"RN"
"1017459";NA;"Centro";"59235-000";"Lajes Pintadas                        - RN";"SITIO SERRA VERDE,   ";"31/07/2016";"Vigente";"32146/2014";"
                            
                            Licitação";"RN"
"1002386";NA;"SETOR 02                                                                                            ";"76890-000";"Jaru                        - RO";"RUA SERGIPE, QUADRA 10, LOTE 04, BLOCO C, 000 ";"29/06/2017";"Vigente";"5435/2013";"
                            
                            Licitação";"RO"
"1011047";NA;"BOM FUTURO                                                                                          ";"76868-000";"Machadinho D Oeste                        - RO";"AV. CASTELO BRANCO, ÁREA URBANA, 000 ";"31/08/2016";"Vigente";"22697/2014";"
                            
                            Licitação";"RO"
